0->1->2->3->4->0   Score: 1115
0->1->2->4->3->0   Score: 332
0->1->3->2->4->0   Score: 568
0->1->3->4->2->0   Score: 1093
0->1->4->2->3->0   Score: 987
0->1->4->3->2->0   Score: 523
0->2->1->3->4->0   Score: 852
0->2->1->4->3->0   Score: 434
0->2->3->1->4->0   Score: 707
0->2->3->4->1->0   Score: 1415
0->2->4->1->3->0   Score: 544
0->2->4->3->1->0   Score: 332
0->3->1->2->4->0   Score: 450
0->3->1->4->2->0   Score: 749
0->3->2->1->4->0   Score: 734
0->3->2->4->1->0   Score: 910
0->3->4->1->2->0   Score: 1096
0->3->4->2->1->0   Score: 1289
0->4->1->2->3->0   Score: 1346
0->4->1->3->2->0   Score: 1177
0->4->2->1->3->0   Score: 1117
0->4->2->3->1->0   Score: 1407
0->4->3->1->2->0   Score: 756
0->4->3->2->1->0   Score: 1097
1->0->3->2->4->1   Score: 747
1->0->3->4->2->1   Score: 1403
1->0->4->2->3->1   Score: 1495
1->0->4->3->2->1   Score: 1009
1->2->0->3->4->1   Score: 916
1->2->0->4->3->1   Score: 980
1->2->3->0->4->1   Score: 1102
1->2->3->4->0->1   Score: 1364
1->2->4->0->3->1   Score: 457
1->2->4->3->0->1   Score: 281
1->3->0->2->4->1   Score: 386
1->3->0->4->2->1   Score: 1231
1->3->2->0->4->1   Score: 1021
1->3->2->4->0->1   Score: 773
1->3->4->0->2->1   Score: 837
1->3->4->2->0->1   Score: 1152
1->4->0->2->3->1   Score: 800
1->4->0->3->2->1   Score: 695
1->4->2->0->3->1   Score: 746
1->4->2->3->0->1   Score: 941
1->4->3->0->2->1   Score: 321
1->4->3->2->0->1   Score: 631
2->0->3->1->4->2   Score: 437
2->0->3->4->1->2   Score: 1425
2->0->4->1->3->2   Score: 968
2->0->4->3->1->2   Score: 1031
2->1->0->3->4->2   Score: 1213
2->1->0->4->3->2   Score: 1129
2->1->3->0->4->2   Score: 839
2->1->3->4->0->2   Score: 1157
2->1->4->0->3->2   Score: 559
2->1->4->3->0->2   Score: 587
2->3->0->1->4->2   Score: 636
2->3->0->4->1->2   Score: 1609
2->3->1->0->4->2   Score: 1173
2->3->1->4->0->2   Score: 990
2->3->4->0->1->2   Score: 1215
2->3->4->1->0->2   Score: 1337
2->4->0->1->3->2   Score: 320
2->4->0->3->1->2   Score: 708
2->4->1->0->3->2   Score: 681
2->4->1->3->0->2   Score: 724
2->4->3->0->1->2   Score: 334
2->4->3->1->0->2   Score: 303
3->0->2->1->4->3   Score: 373
3->0->2->4->1->3   Score: 534
3->0->4->1->2->3   Score: 924
3->0->4->2->1->3   Score: 1473
3->1->0->2->4->3   Score: 720
3->1->0->4->2->3   Score: 1063
3->1->2->0->4->3   Score: 903
3->1->2->4->0->3   Score: 330
3->1->4->0->2->3   Score: 493
3->1->4->2->0->3   Score: 985
3->2->0->1->4->3   Score: 555
3->2->0->4->1->3   Score: 1233
3->2->1->0->4->3   Score: 1200
3->2->1->4->0->3   Score: 636
3->2->4->0->1->3   Score: 710
3->2->4->1->0->3   Score: 746
3->4->0->1->2->3   Score: 786
3->4->0->2->1->3   Score: 1279
3->4->1->0->2->3   Score: 1147
3->4->1->2->0->3   Score: 1359
3->4->2->0->1->3   Score: 1225
3->4->2->1->0->3   Score: 1130
4->0->2->1->3->4   Score: 422
4->0->2->3->1->4   Score: 1213
4->0->3->1->2->4   Score: 442
4->0->3->2->1->4   Score: 774
4->1->0->2->3->4   Score: 922
4->1->0->3->2->4   Score: 1349
4->1->2->0->3->4   Score: 1105
4->1->2->3->0->4   Score: 1315
4->1->3->0->2->4   Score: 975
4->1->3->2->0->4   Score: 768
4->2->0->1->3->4   Score: 609
4->2->0->3->1->4   Score: 1223
4->2->1->0->3->4   Score: 1254
4->2->1->3->0->4   Score: 1108
4->2->3->0->1->4   Score: 1409
4->2->3->1->0->4   Score: 963
4->3->0->1->2->4   Score: 270
4->3->0->2->1->4   Score: 398
4->3->1->0->2->4   Score: 807
4->3->1->2->0->4   Score: 325
4->3->2->0->1->4   Score: 1033
4->3->2->1->0->4   Score: 609
The cheapest tour costs: 270
The cheapest tour was: 4->3->0->1->2->4
